   table_schema   |             table_name             |        column_name         | foreign_table_schema |    foreign_table_name    |  foreign_column_name  
------------------+------------------------------------+----------------------------+----------------------+--------------------------+-----------------------
 analytics_v2     | customer_ltv                       | customer_id                | customers            | customer_profiles        | id
 analytics_v2     | event_performance                  | event_id                   | events               | events                   | id
 analytics_v2     | revenue_projections                | venue_id                   | venues               | venues                   | id
 blockchain       | blockchain_transactions            | ticket_id                  | tickets              | tickets                  | id
 blockchain       | blockchain_transactions            | ticket_id                  | tickets              | tickets                  | id
 blockchain       | blockchain_transactions            | ticket_id                  | tickets              | tickets                  | id
 blockchain       | blockchain_transactions            | ticket_id                  | tickets              | tickets                  | id
 blockchain       | gas_fee_tracking                   | transaction_signature      | blockchain           | blockchain_transactions  | id
 blockchain       | gas_fee_tracking                   | transaction_id             | blockchain           | blockchain_transactions  | id
 blockchain       | gas_fee_tracking                   | transaction_id             | blockchain           | blockchain_transactions  | transaction_signature
 blockchain       | gas_fee_tracking                   | transaction_signature      | blockchain           | blockchain_transactions  | transaction_signature
 blockchain       | nft_metadata                       | ticket_id                  | tickets              | tickets                  | id
 blockchain       | nft_metadata                       | ticket_id                  | tickets              | tickets                  | id
 blockchain       | nft_metadata                       | ticket_id                  | tickets              | tickets                  | id
 blockchain       | nft_metadata                       | ticket_id                  | tickets              | tickets                  | id
 blockchain       | smart_contract_events              | transaction_id             | blockchain           | blockchain_transactions  | transaction_signature
 blockchain       | smart_contract_events              | transaction_signature      | blockchain           | blockchain_transactions  | id
 blockchain       | smart_contract_events              | transaction_signature      | blockchain           | blockchain_transactions  | transaction_signature
 blockchain       | smart_contract_events              | transaction_id             | blockchain           | blockchain_transactions  | id
 blockchain       | wallet_addresses                   | user_id                    | core                 | users                    | id
 compliance       | compliance_inspections             | compliance_id              | venues               | venue_compliance         | id
 compliance       | compliance_reminders               | compliance_id              | venues               | venue_compliance         | id
 compliance       | compliance_violations              | compliance_id              | venues               | venue_compliance         | id
 core             | permission_dependencies            | required_permission_id     | core                 | permissions              | id
 core             | permission_dependencies            | permission_id              | core                 | permissions              | id
 core             | role_permissions                   | permission_id              | core                 | permissions              | id
 core             | session_activities                 | session_id                 | core                 | sessions                 | id
 core             | sessions                           | user_id                    | core                 | users                    | id
 core             | suspicious_sessions                | session_id                 | core                 | sessions                 | id
 core             | user_permissions                   | permission_id              | core                 | permissions              | id
 core             | user_roles                         | role_id                    | core                 | roles                    | id
 core             | users                              | referred_by                | core                 | users                    | id
 customer_success | onboarding_progress                | venue_id                   | venues               | venues                   | id
