    schemaname    |             tablename              |                            indexname                            |                                                                                                                                                                                                                indexdef                                                                                                                                                                                                                 
------------------+------------------------------------+-----------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 analytics_v2     | customer_ltv                       | customer_ltv_pkey                                               | CREATE UNIQUE INDEX customer_ltv_pkey ON analytics_v2.customer_ltv USING btree (id)
 analytics_v2     | customer_ltv                       | idx_customer_ltv_calculation_date                               | CREATE INDEX idx_customer_ltv_calculation_date ON analytics_v2.customer_ltv USING btree (calculation_date DESC)
 analytics_v2     | customer_ltv                       | idx_customer_ltv_customer_date                                  | CREATE INDEX idx_customer_ltv_customer_date ON analytics_v2.customer_ltv USING btree (customer_id, calculation_date DESC)
 analytics_v2     | event_performance                  | event_performance_pkey                                          | CREATE UNIQUE INDEX event_performance_pkey ON analytics_v2.event_performance USING btree (id)
 analytics_v2     | event_performance                  | idx_event_perf_event_date                                       | CREATE INDEX idx_event_perf_event_date ON analytics_v2.event_performance USING btree (event_id, analysis_date DESC)
 analytics_v2     | revenue_projections                | idx_revenue_proj_date                                           | CREATE INDEX idx_revenue_proj_date ON analytics_v2.revenue_projections USING btree (projection_date DESC)
 analytics_v2     | revenue_projections                | idx_revenue_proj_venue_date                                     | CREATE INDEX idx_revenue_proj_venue_date ON analytics_v2.revenue_projections USING btree (venue_id, projection_date DESC)
 analytics_v2     | revenue_projections                | revenue_projections_pkey                                        | CREATE UNIQUE INDEX revenue_projections_pkey ON analytics_v2.revenue_projections USING btree (id)
 blockchain       | blockchain_transactions            | blockchain_transactions_pkey                                    | CREATE UNIQUE INDEX blockchain_transactions_pkey ON blockchain.blockchain_transactions USING btree (id)
 blockchain       | blockchain_transactions            | blockchain_transactions_transaction_signature_key               | CREATE UNIQUE INDEX blockchain_transactions_transaction_signature_key ON blockchain.blockchain_transactions USING btree (transaction_signature)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_block_time                          | CREATE INDEX idx_blockchain_transactions_block_time ON blockchain.blockchain_transactions USING btree (block_time)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_from_wallet                         | CREATE INDEX idx_blockchain_transactions_from_wallet ON blockchain.blockchain_transactions USING btree (from_wallet)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_signature                           | CREATE INDEX idx_blockchain_transactions_signature ON blockchain.blockchain_transactions USING btree (transaction_signature)
 blockchain       | blockchain_transactions            | idx_blockchain_transactions_status                              | CREATE INDEX idx_blockchain_transactions_status ON blockchain.blockchain_transactions USING btree (status)
