    schemaname    |             tablename              |    size    
------------------+------------------------------------+------------
 analytics_v2     | customer_ltv                       | 24 kB
 analytics_v2     | event_performance                  | 16 kB
 analytics_v2     | revenue_projections                | 32 kB
 blockchain       | blockchain_transactions            | 88 kB
 blockchain       | gas_fee_tracking                   | 88 kB
 blockchain       | nft_metadata                       | 128 kB
 blockchain       | smart_contract_events              | 136 kB
 blockchain       | wallet_addresses                   | 96 kB
 cache_test       | products                           | 208 kB
 compliance       | aml_checks                         | 144 kB
 compliance       | compliance_inspections             | 64 kB
 compliance       | compliance_reminders               | 48 kB
 compliance       | compliance_reports                 | 160 kB
 compliance       | compliance_violations              | 72 kB
 compliance       | data_retention                     | 272 kB
 compliance       | fraud_prevention_rules             | 32 kB
 compliance       | kyc_records                        | 136 kB
 compliance       | sanctions_screening                | 160 kB
 core             | audit_log_alerts                   | 40 kB
 core             | audit_log_summaries                | 32 kB
 core             | audit_logs                         | 3533 MB
 core             | permission_dependencies            | 16 kB
 core             | permissions                        | 40 kB
 core             | role_permissions                   | 56 kB
 core             | roles                              | 48 kB
 core             | schema_migrations                  | 24 kB
 core             | session_activities                 | 48 kB
 core             | sessions                           | 203 MB
 core             | suspicious_sessions                | 48 kB
 core             | tenants                            | 40 kB
 core             | user_permissions                   | 72 kB
 core             | user_roles                         | 64 kB
 core             | users                              | 31 MB
 customer_success | onboarding_progress                | 24 kB
 customer_success | support_tickets                    | 48 kB
 customer_success | venue_health_scores                | 24 kB
 customers        | customer_feedback                  | 200 kB
 customers        | customer_profiles                  | 136 kB
 customers        | feedback_responses                 | 32 kB
 customers        | loyalty_accounts                   | 88 kB
 customers        | loyalty_programs                   | 136 kB
 customers        | loyalty_transactions               | 88 kB
 customers        | segment_definitions                | 160 kB
 edge_test        | test_cases                         | 32 kB
 edge_test        | test_users                         | 48 kB
 events           | event_analytics_tracking           | 64 kB
 events           | event_capacity                     | 128 kB
 events           | event_capacity_alerts              | 40 kB
 events           | event_capacity_by_tier             | 32 kB
 events           | event_capacity_by_type             | 32 kB
 events           | event_capacity_holds               | 40 kB
 events           | event_capacity_oversell_policies   | 16 kB
 events           | event_capacity_reservations        | 32 kB
 events           | event_capacity_snapshots           | 24 kB
 events           | event_capacity_utilization_history | 40 kB
 events           | event_categories                   | 144 kB
 events           | event_category_analytics           | 32 kB
 events           | event_category_attributes          | 48 kB
 events           | event_category_mappings            | 40 kB
 events           | event_category_search_suggestions  | 40 kB
 events           | event_category_tags                | 64 kB
 events           | event_category_trending            | 40 kB
 events           | event_custom_attributes            | 72 kB
 events           | event_marketing_campaigns          | 64 kB
 events           | event_metadata                     | 696 kB
 events           | event_metadata_history             | 40 kB
 events           | event_metadata_templates           | 56 kB
 events           | event_performers                   | 56 kB
 events           | event_pricing                      | 120 kB
 events           | event_pricing_demand_factors       | 24 kB
 events           | event_pricing_dynamic_rules        | 40 kB
 events           | event_pricing_group_discounts      | 32 kB
 events           | event_pricing_history              | 48 kB
 events           | event_pricing_promo_codes          | 48 kB
 events           | event_pricing_schedules            | 24 kB
 events           | event_pricing_surge_thresholds     | 32 kB
 events           | event_pricing_tiers                | 48 kB
 events           | event_production_schedules         | 48 kB
 events           | event_schedules                    | 144 kB
 events           | event_seo_metadata                 | 72 kB
 events           | event_sessions                     | 56 kB
 events           | event_social_media                 | 64 kB
 events           | events                             | 79 MB
 events           | schedule_activities                | 72 kB
 events           | schedule_conflicts                 | 56 kB
 events           | schedule_exceptions                | 48 kB
 integrations     | api_credentials                    | 128 kB
 integrations     | external_references                | 160 kB
 integrations     | integration_data_mappings          | 48 kB
 integrations     | integration_logs                   | 88 kB
 integrations     | integration_mappings               | 152 kB
 integrations     | integration_schedules              | 48 kB
 integrations     | integration_webhooks               | 72 kB
 integrations     | sync_logs                          | 176 kB
 integrations     | webhook_endpoints                  | 152 kB
 marketplace      | dispute_resolution                 | 88 kB
 marketplace      | escrow                             | 88 kB
 marketplace      | listings                           | 176 kB
 marketplace      | market_analytics                   | 48 kB
 marketplace      | marketplace_transactions           | 184 kB
 marketplace      | offers                             | 80 kB
 marketplace      | royalties                          | 80 kB
 marketplace      | royalty_settlements                | 24 kB
 monitoring       | alerts                             | 40 kB
 monitoring       | health_checks                      | 32 kB
 monitoring       | performance_metrics                | 330 MB
 monitoring       | sla_metrics                        | 40 kB
 notifications    | campaigns                          | 168 kB
 notifications    | delivery_tracking                  | 168 kB
 notifications    | notification_history               | 168 kB
 notifications    | notification_preferences           | 112 kB
 notifications    | notification_queue                 | 32 kB
 operations       | backup_verification                | 24 kB
 operations       | dr_tests                           | 24 kB
 operations       | maintenance_windows                | 24 kB
 partnerships     | agreements                         | 40 kB
 partnerships     | commissions                        | 48 kB
 partnerships     | performance_metrics                | 16 kB
 payments         | financial_reports                  | 64 kB
 payments         | international_fees                 | 24 kB
 payments         | invoices                           | 136 kB
 payments         | payment_methods                    | 80 kB
 payments         | price_history                      | 64 kB
 payments         | refunds                            | 104 kB
 payments         | settlements                        | 80 kB
 payments         | subscriptions                      | 112 kB
 payments         | transactions                       | 23 MB
 public           | audit_logs                         | 24 MB
 public           | bank_verifications                 | 16 kB
 public           | compliance_audit_log               | 24 kB
 public           | compliance_batch_jobs              | 8192 bytes
 public           | compliance_documents               | 32 kB
 public           | compliance_settings                | 48 kB
 public           | devices                            | 48 kB
 public           | event_tiers                        | 56 kB
 public           | events                             | 112 kB
 public           | form_1099_records                  | 24 kB
 public           | idempotency_keys                   | 64 kB
 public           | migrations                         | 40 kB
 public           | mint_jobs                          | 80 kB
 public           | nft_mints                          | 48 kB
 public           | notification_log                   | 16 kB
 public           | notifications                      | 96 kB
 public           | ofac_checks                        | 24 kB
 public           | ofac_sdn_list                      | 24 kB
 public           | order_items                        | 24 kB
 public           | orders                             | 160 kB
 public           | outbox                             | 80 kB
 public           | payment_intents                    | 88 kB
 public           | payout_methods                     | 16 kB
 public           | pgbench_accounts                   | 150 MB
 public           | pgbench_branches                   | 56 kB
 public           | pgbench_history                    | 0 bytes
 public           | pgbench_tellers                    | 56 kB
 public           | refunds                            | 56 kB
 public           | reservations                       | 136 kB
 public           | risk_assessments                   | 16 kB
 public           | risk_flags                         | 24 kB
 public           | scan_policies                      | 80 kB
 public           | scan_policy_templates              | 32 kB
 public           | scans                              | 88 kB
 public           | schema_migrations                  | 32 kB
 public           | search_index_events                | 120 kB
 public           | system_logs                        | 24 kB
 public           | tax_records                        | 32 kB
 public           | tenants                            | 80 kB
 public           | ticket_types                       | 64 kB
 public           | tickets                            | 144 kB
 public           | transactions                       | 40 kB
 public           | venue_settings                     | 40 kB
 public           | venue_verifications                | 48 kB
 public           | venues                             | 48 kB
 public           | webhook_events                     | 32 kB
 public           | webhook_inbox                      | 64 kB
 public           | webhook_logs                       | 24 kB
 tickets          | ticket_batch_operations            | 48 kB
 tickets          | ticket_metadata                    | 30 MB
 tickets          | ticket_ownership_history           | 96 kB
 tickets          | ticket_redemptions                 | 96 kB
 tickets          | ticket_refunds                     | 88 kB
 tickets          | ticket_resale_listings             | 72 kB
 tickets          | ticket_transactions                | 88 kB
 tickets          | ticket_transfers                   | 136 kB
 tickets          | ticket_type_analytics              | 32 kB
 tickets          | ticket_type_availability_schedules | 32 kB
 tickets          | ticket_type_benefits               | 40 kB
 tickets          | ticket_type_refund_policies        | 32 kB
 tickets          | ticket_type_restrictions           | 48 kB
 tickets          | ticket_type_transfer_policies      | 32 kB
 tickets          | ticket_types                       | 3184 kB
 tickets          | ticket_validations                 | 80 kB
 tickets          | tickets                            | 114 MB
 venues           | layout_accessibility_features      | 48 kB
 venues           | layout_pricing_zones               | 56 kB
 venues           | layout_seats                       | 112 kB
 venues           | layout_sections                    | 96 kB
 venues           | staff_certifications               | 48 kB
 venues           | staff_schedules                    | 88 kB
 venues           | staff_training_records             | 56 kB
 venues           | venue_blackout_dates               | 48 kB
 venues           | venue_compliance                   | 72 kB
 venues           | venue_custom_categories            | 48 kB
 venues           | venue_integrations                 | 64 kB
 venues           | venue_layouts                      | 64 kB
 venues           | venue_maintenance                  | 32 kB
 venues           | venue_notification_templates       | 48 kB
 venues           | venue_operating_hours              | 48 kB
 venues           | venue_payout_accounts              | 24 kB
 venues           | venue_policies                     | 64 kB
 venues           | venue_pricing_rules                | 72 kB
 venues           | venue_settings                     | 184 kB
 venues           | venue_staff                        | 72 kB
 venues           | venues                             | 39 MB
(213 rows)

