   schema    |           type_name           |       enum_value       
-------------+-------------------------------+------------------------
 marketplace | account_action                | none
 marketplace | account_action                | warning_issued
 marketplace | account_action                | temporary_suspension
 marketplace | account_action                | permanent_ban
 marketplace | account_action                | selling_restricted
 marketplace | account_action                | buying_restricted
 marketplace | calculation_basis             | gross_sale
 marketplace | calculation_basis             | net_sale
 marketplace | calculation_basis             | ticket_face
 marketplace | dispute_status                | filed
 marketplace | dispute_status                | under_review
 marketplace | dispute_status                | awaiting_response
 marketplace | dispute_status                | in_mediation
 marketplace | dispute_status                | in_arbitration
 marketplace | dispute_status                | resolved
 marketplace | dispute_status                | appealed
 marketplace | dispute_status                | closed
 marketplace | dispute_status                | withdrawn
 marketplace | dispute_type                  | non_delivery
 marketplace | dispute_type                  | fraud
 marketplace | dispute_type                  | misrepresentation
 marketplace | dispute_type                  | technical_issue
 marketplace | dispute_type                  | unauthorized_sale
 marketplace | dispute_type                  | duplicate_charge
 marketplace | dispute_type                  | event_issue
 marketplace | dispute_type                  | other
 marketplace | escrow_status                 | created
 marketplace | escrow_status                 | funded
 marketplace | escrow_status                 | held
 marketplace | escrow_status                 | released
 marketplace | escrow_status                 | refunded
 marketplace | escrow_status                 | disputed
 marketplace | escrow_status                 | expired
 marketplace | escrow_status                 | cancelled
 marketplace | escrow_type                   | sale
 marketplace | escrow_type                   | auction
 marketplace | escrow_type                   | dispute
 marketplace | hold_reason                   | standard_hold
 marketplace | hold_reason                   | verification_pending
 marketplace | hold_reason                   | fraud_review
 marketplace | hold_reason                   | dispute_hold
 marketplace | hold_reason                   | regulatory_hold
 marketplace | hold_reason                   | manual_review
 marketplace | listing_status                | active
 marketplace | listing_status                | sold
 marketplace | listing_status                | cancelled
 marketplace | listing_status                | expired
 marketplace | listing_status                | suspended
 marketplace | listing_status                | under_review
 marketplace | listing_type                  | fixed
 marketplace | listing_type                  | auction
 marketplace | listing_type                  | best_offer
 marketplace | offer_status                  | pending
 marketplace | offer_status                  | accepted
 marketplace | offer_status                  | rejected
 marketplace | offer_status                  | expired
 marketplace | offer_status                  | withdrawn
 marketplace | offer_status                  | completed
 marketplace | offer_type                    | direct
 marketplace | offer_type                    | auction_bid
 marketplace | offer_type                    | best_offer
 marketplace | payment_status                | pending
 marketplace | payment_status                | processing
 marketplace | payment_status                | captured
 marketplace | payment_status                | held_in_escrow
 marketplace | payment_status                | partially_released
 marketplace | payment_status                | released
 marketplace | payment_status                | failed
 marketplace | payment_status                | refunded
 marketplace | payment_status                | disputed
 marketplace | priority_level                | low
 marketplace | priority_level                | medium
 marketplace | priority_level                | high
 marketplace | priority_level                | critical
 marketplace | refund_reason                 | buyer_cancellation
 marketplace | refund_reason                 | seller_cancellation
 marketplace | refund_reason                 | failed_delivery
 marketplace | refund_reason                 | fraud_detected
 marketplace | refund_reason                 | dispute_resolution
 marketplace | refund_reason                 | event_cancelled
 marketplace | refund_reason                 | duplicate_purchase
 marketplace | refund_reason                 | other
 marketplace | resolution_decision           | full_refund
 marketplace | resolution_decision           | partial_refund
 marketplace | resolution_decision           | no_refund
 marketplace | resolution_decision           | replacement
 marketplace | resolution_decision           | credit_issued
 marketplace | resolution_decision           | split_resolution
 marketplace | resolution_decision           | pending
 marketplace | resolution_method             | platform_decision
 marketplace | resolution_method             | mediation
 marketplace | resolution_method             | arbitration
 marketplace | resolution_method             | mutual_agreement
 marketplace | resolution_method             | automatic
 marketplace | resolution_method             | withdrawn
 marketplace | royalty_payment_status        | pending
 marketplace | royalty_payment_status        | processing
 marketplace | royalty_payment_status        | paid
 marketplace | royalty_payment_status        | failed
 marketplace | royalty_payment_status        | on_hold
 marketplace | royalty_payment_status        | cancelled
 marketplace | royalty_type                  | percentage
 marketplace | royalty_type                  | fixed_amount
 marketplace | transaction_type              | direct_sale
 marketplace | transaction_type              | auction_win
 marketplace | transaction_type              | best_offer_accepted
 marketplace | transfer_status               | pending
 marketplace | transfer_status               | initiated
 marketplace | transfer_status               | blockchain_pending
 marketplace | transfer_status               | blockchain_confirmed
 marketplace | transfer_status               | completed
 marketplace | transfer_status               | failed
 marketplace | transfer_status               | reversed
 marketplace | verification_level            | unverified
 marketplace | verification_level            | basic
 marketplace | verification_level            | standard
 marketplace | verification_level            | premium
 marketplace | verification_level            | trusted
 public      | access_level                  | public_only
 public      | access_level                  | front_of_house
 public      | access_level                  | back_of_house
 public      | access_level                  | restricted_areas
 public      | access_level                  | all_areas
 public      | access_level                  | administrative
 public      | activity_type                 | setup
 public      | activity_type                 | sound_check
 public      | activity_type                 | rehearsal
 public      | activity_type                 | doors_open
 public      | activity_type                 | vip_meet_greet
 public      | activity_type                 | opening_act
 public      | activity_type                 | main_event
 public      | activity_type                 | intermission
 public      | activity_type                 | set_break
 public      | activity_type                 | encore
 public      | activity_type                 | autograph_session
 public      | activity_type                 | after_party
 public      | activity_type                 | cleanup
 public      | activity_type                 | breakdown
 public      | activity_type                 | load_out
 public      | activity_type                 | other
 public      | age_restriction               | all_ages
 public      | age_restriction               | 13_plus
 public      | age_restriction               | 16_plus
 public      | age_restriction               | 18_plus
 public      | age_restriction               | 21_plus
 public      | age_restriction               | family_friendly
 public      | age_restriction               | seniors_only
 public      | age_restriction               | children_only
 public      | audit_action                  | create
 public      | audit_action                  | read
 public      | audit_action                  | update
 public      | audit_action                  | delete
 public      | audit_action                  | login
 public      | audit_action                  | logout
 public      | audit_action                  | grant
 public      | audit_action                  | revoke
 public      | audit_action                  | approve
 public      | audit_action                  | reject
 public      | audit_action                  | export
 public      | audit_action                  | import
 public      | audit_action                  | backup
 public      | audit_action                  | restore
 public      | audit_action                  | configure
 public      | audit_action                  | archive
 public      | audit_action                  | purge
 public      | audit_category                | authentication
 public      | audit_category                | authorization
 public      | audit_category                | data_modification
 public      | audit_category                | financial
 public      | audit_category                | security
 public      | audit_category                | system
 public      | audit_category                | privacy
 public      | audit_category                | compliance
 public      | audit_severity                | info
 public      | audit_severity                | warning
 public      | audit_severity                | error
 public      | audit_severity                | critical
 public      | compliance_status             | valid
 public      | compliance_status             | expired
 public      | compliance_status             | pending_renewal
 public      | compliance_status             | suspended
 public      | compliance_status             | revoked
 public      | compliance_status             | under_review
 public      | compliance_status             | conditionally_approved
 public      | compliance_status             | denied
 public      | compliance_status             | not_applicable
 public      | compliance_type               | business_license
 public      | compliance_type               | tax_permits
 public      | compliance_type               | safety_certificates
 public      | compliance_type               | insurance
 public      | compliance_type               | health_permits
 public      | compliance_type               | liquor_license
 public      | compliance_type               | music_license
 public      | compliance_type               | zoning_permits
 public      | compliance_type               | ada_compliance
 public      | compliance_type               | environmental
 public      | compliance_type               | employment
 public      | compliance_type               | security_permits
 public      | compliance_type               | parking_permits
 public      | compliance_type               | temporary_permits
 public      | compliance_type               | vendor_permits
 public      | compliance_type               | other
 public      | content_rating                | g
 public      | content_rating                | pg
 public      | content_rating                | pg13
 public      | content_rating                | r
 public      | content_rating                | nc17
 public      | content_rating                | unrated
 public      | content_rating                | explicit
 public      | device_type                   | desktop
 public      | device_type                   | mobile
 public      | device_type                   | tablet
 public      | device_type                   | tv
 public      | device_type                   | bot
 public      | device_type                   | unknown
 public      | employment_status             | active
 public      | employment_status             | inactive
 public      | employment_status             | terminated
 public      | employment_status             | pending
 public      | employment_status             | on_leave
 public      | employment_status             | suspended
 public      | employment_status             | probation
 public      | employment_status             | contract_ended
 public      | employment_type               | full_time
 public      | employment_type               | part_time
 public      | employment_type               | contract
 public      | employment_type               | volunteer
 public      | employment_type               | intern
 public      | employment_type               | seasonal
 public      | employment_type               | on_call
 public      | event_category                | concert
 public      | event_category                | sports
 public      | event_category                | theater
 public      | event_category                | conference
 public      | event_category                | comedy
 public      | event_category                | dance
 public      | event_category                | festival
 public      | event_category                | exhibition
 public      | event_category                | workshop
 public      | event_category                | networking
 public      | event_category                | charity
 public      | event_category                | religious
 public      | event_category                | family
 public      | event_category                | nightlife
 public      | event_category                | food_drink
 public      | event_category                | wellness
 public      | event_category                | cultural
 public      | event_category                | educational
 public      | event_category                | corporate
 public      | event_category                | other
 public      | event_status                  | draft
 public      | event_status                  | pending_approval
 public      | event_status                  | approved
 public      | event_status                  | published
 public      | event_status                  | on_sale
 public      | event_status                  | sold_out
 public      | event_status                  | paused
 public      | event_status                  | cancelled
 public      | event_status                  | postponed
 public      | event_status                  | rescheduled
 public      | event_status                  | completed
 public      | event_status                  | archived
 public      | integration_status            | active
 public      | integration_status            | inactive
 public      | integration_status            | error
 public      | integration_status            | pending
 public      | integration_status            | testing
 public      | integration_status            | expired
 public      | integration_status            | suspended
 public      | integration_status            | deprecated
 public      | integration_type              | pos
 public      | integration_type              | payment
 public      | integration_type              | crm
 public      | integration_type              | analytics
 public      | integration_type              | social_media
 public      | integration_type              | email_marketing
 public      | integration_type              | accounting
 public      | integration_type              | inventory
 public      | integration_type              | security
 public      | integration_type              | communication
 public      | integration_type              | ticketing
 public      | integration_type              | streaming
 public      | integration_type              | loyalty
 public      | integration_type              | survey
 public      | integration_type              | booking
 public      | integration_type              | weather
 public      | integration_type              | transport
 public      | integration_type              | other
 public      | kyc_status_enum               | pending
 public      | kyc_status_enum               | verified
 public      | kyc_status_enum               | rejected
 public      | kyc_status_enum               | expired
 public      | layout_status                 | active
 public      | layout_status                 | inactive
 public      | layout_status                 | seasonal
 public      | layout_status                 | draft
 public      | layout_status                 | archived
 public      | layout_status                 | maintenance
 public      | loyalty_transaction_type_enum | earned
 public      | loyalty_transaction_type_enum | redeemed
 public      | loyalty_transaction_type_enum | expired
 public      | loyalty_transaction_type_enum | adjusted
 public      | notification_category         | transactional
 public      | notification_category         | marketing
 public      | notification_category         | system
 public      | notification_category         | reminder
 public      | notification_channel          | email
 public      | notification_channel          | sms
 public      | notification_channel          | push
 public      | notification_channel          | in_app
 public      | notification_frequency_enum   | realtime
 public      | notification_frequency_enum   | daily
 public      | notification_frequency_enum   | weekly
 public      | notification_frequency_enum   | never
 public      | ownership_type                | owner
 public      | ownership_type                | lessee
 public      | ownership_type                | manager
 public      | ownership_type                | partner
 public      | performer_type                | headliner
 public      | performer_type                | co_headliner
 public      | performer_type                | opening_act
 public      | performer_type                | special_guest
 public      | performer_type                | dj
 public      | performer_type                | mc_host
 public      | performer_type                | speaker
 public      | performer_type                | comedian
 public      | performer_type                | athlete
 public      | performer_type                | presenter
 public      | performer_type                | moderator
 public      | performer_type                | other
 public      | permission_action             | create
 public      | permission_action             | read
 public      | permission_action             | update
 public      | permission_action             | delete
 public      | permission_action             | manage
 public      | permission_action             | approve
 public      | permission_action             | reject
 public      | permission_action             | publish
 public      | permission_action             | archive
 public      | permission_action             | restore
 public      | permission_action             | export
 public      | permission_action             | import
 public      | permission_category           | user_management
 public      | permission_category           | venue_management
 public      | permission_category           | event_management
 public      | permission_category           | ticket_management
 public      | permission_category           | financial
 public      | permission_category           | analytics
 public      | permission_category           | system
 public      | permission_category           | content_management
 public      | permission_scope              | global
 public      | permission_scope              | organization
 public      | permission_scope              | venue
 public      | permission_scope              | event
 public      | permission_scope              | own
 public      | pricing_tier                  | platinum
 public      | pricing_tier                  | gold
 public      | pricing_tier                  | silver
 public      | pricing_tier                  | bronze
 public      | pricing_tier                  | general_admission
 public      | pricing_tier                  | student
 public      | pricing_tier                  | senior
 public      | pricing_tier                  | child
 public      | pricing_tier                  | group
 public      | recurrence_pattern            | daily
 public      | recurrence_pattern            | weekly
 public      | recurrence_pattern            | bi_weekly
 public      | recurrence_pattern            | monthly
 public      | recurrence_pattern            | quarterly
 public      | recurrence_pattern            | semi_annually
 public      | recurrence_pattern            | annually
 public      | recurrence_pattern            | weekdays
 public      | recurrence_pattern            | weekends
 public      | recurrence_pattern            | custom
 public      | role_category                 | system
 public      | role_category                 | venue
 public      | role_category                 | event
 public      | role_category                 | custom
 public      | role_permission_level         | super_admin
 public      | role_permission_level         | admin
 public      | role_permission_level         | manager
 public      | role_permission_level         | staff
 public      | role_permission_level         | customer
 public      | role_status                   | active
 public      | role_status                   | inactive
 public      | schedule_status               | draft
 public      | schedule_status               | tentative
 public      | schedule_status               | confirmed
 public      | schedule_status               | published
 public      | schedule_status               | in_progress
 public      | schedule_status               | completed
 public      | schedule_status               | cancelled
 public      | schedule_status               | postponed
 public      | schedule_status               | rescheduled
 public      | schedule_status               | on_hold
 public      | schedule_type                 | single
 public      | schedule_type                 | recurring
 public      | schedule_type                 | multi_day
 public      | schedule_type                 | tour
 public      | schedule_type                 | series
 public      | schedule_type                 | workshop_series
 public      | schedule_type                 | seasonal
 public      | schedule_type                 | special_run
 public      | schedule_type                 | tournament
 public      | schedule_type                 | residency
 public      | seat_type                     | standard
 public      | seat_type                     | premium
 public      | seat_type                     | vip
 public      | seat_type                     | wheelchair
 public      | seat_type                     | companion
 public      | seat_type                     | aisle
 public      | seat_type                     | obstructed
 public      | seat_type                     | removable
 public      | seat_type                     | standing
 public      | seat_type                     | box
 public      | seat_type                     | love_seat
 public      | seat_type                     | table
 public      | seat_type                     | bar_stool
 public      | seat_type                     | bench
 public      | section_type                  | seating
 public      | section_type                  | standing
 public      | section_type                  | vip
 public      | section_type                  | box
 public      | section_type                  | balcony
 public      | section_type                  | mezzanine
 public      | section_type                  | orchestra
 public      | section_type                  | gallery
 public      | section_type                  | lawn
