    schemaname    |             tablename              | row_count 
------------------+------------------------------------+-----------
 analytics_v2     | customer_ltv                       |         0
 analytics_v2     | event_performance                  |         0
 analytics_v2     | revenue_projections                |         0
 blockchain       | blockchain_transactions            |         0
 blockchain       | gas_fee_tracking                   |         0
 blockchain       | nft_metadata                       |         0
 blockchain       | smart_contract_events              |         0
 blockchain       | wallet_addresses                   |         0
 cache_test       | products                           |      1000
 compliance       | aml_checks                         |         0
 compliance       | compliance_inspections             |         0
 compliance       | compliance_reminders               |         0
 compliance       | compliance_reports                 |         0
 compliance       | compliance_violations              |         0
 compliance       | data_retention                     |         4
 compliance       | fraud_prevention_rules             |         0
 compliance       | kyc_records                        |         0
 compliance       | sanctions_screening                |         0
 core             | audit_log_alerts                   |         0
 core             | audit_log_summaries                |         0
 core             | audit_logs                         |   2329364
 core             | permission_dependencies            |         0
 core             | permissions                        |         0
 core             | role_permissions                   |         0
 core             | roles                              |         0
 core             | schema_migrations                  |         6
 core             | session_activities                 |         0
 core             | sessions                           |    500000
 core             | suspicious_sessions                |         0
 core             | tenants                            |         1
 core             | user_permissions                   |         0
 core             | user_roles                         |         0
 core             | users                              |     10010
 customer_success | onboarding_progress                |         0
 customer_success | support_tickets                    |         2
 customer_success | venue_health_scores                |         0
 customers        | customer_feedback                  |         3
 customers        | customer_profiles                  |         0
 customers        | feedback_responses                 |         0
 customers        | loyalty_accounts                   |         0
 customers        | loyalty_programs                   |         1
 customers        | loyalty_transactions               |         0
 customers        | segment_definitions                |         6
 edge_test        | test_cases                         |        12
 edge_test        | test_users                         |        22
 events           | event_analytics_tracking           |         0
 events           | event_capacity                     |         1
 events           | event_capacity_alerts              |         0
 events           | event_capacity_by_tier             |         0
 events           | event_capacity_by_type             |         0
 events           | event_capacity_holds               |         0
 events           | event_capacity_oversell_policies   |         0
 events           | event_capacity_reservations        |         0
 events           | event_capacity_snapshots           |         0
 events           | event_capacity_utilization_history |         0
 events           | event_categories                   |        12
 events           | event_category_analytics           |         0
 events           | event_category_attributes          |         0
 events           | event_category_mappings            |         0
 events           | event_category_search_suggestions  |         0
 events           | event_category_tags                |         0
 events           | event_category_trending            |         0
 events           | event_custom_attributes            |         0
 events           | event_marketing_campaigns          |         0
 events           | event_metadata                     |      2066
 events           | event_metadata_history             |         0
 events           | event_metadata_templates           |         0
 events           | event_performers                   |         0
 events           | event_pricing                      |         0
 events           | event_pricing_demand_factors       |         0
 events           | event_pricing_dynamic_rules        |         0
 events           | event_pricing_group_discounts      |         0
 events           | event_pricing_history              |         0
 events           | event_pricing_promo_codes          |         0
 events           | event_pricing_schedules            |         0
 events           | event_pricing_surge_thresholds     |         0
 events           | event_pricing_tiers                |         0
 events           | event_production_schedules         |         0
 events           | event_schedules                    |         1
 events           | event_seo_metadata                 |         0
 events           | event_sessions                     |         0
 events           | event_social_media                 |         0
 events           | events                             |      2566
 events           | schedule_activities                |         0
 events           | schedule_conflicts                 |         0
 events           | schedule_exceptions                |         0
 integrations     | api_credentials                    |         0
 integrations     | external_references                |         0
 integrations     | integration_data_mappings          |         0
 integrations     | integration_logs                   |         0
 integrations     | integration_mappings               |         0
 integrations     | integration_schedules              |         0
 integrations     | integration_webhooks               |         0
 integrations     | sync_logs                          |         0
 integrations     | webhook_endpoints                  |         0
 marketplace      | dispute_resolution                 |         0
 marketplace      | escrow                             |         0
 marketplace      | listings                           |         0
 marketplace      | market_analytics                   |         0
 marketplace      | marketplace_transactions           |         0
 marketplace      | offers                             |         0
 marketplace      | royalties                          |         0
 marketplace      | royalty_settlements                |         0
 monitoring       | alerts                             |         0
 monitoring       | health_checks                      |         0
 monitoring       | performance_metrics                |   1625592
 monitoring       | sla_metrics                        |         0
 notifications    | campaigns                          |         0
 notifications    | delivery_tracking                  |         0
 notifications    | notification_history               |         0
 notifications    | notification_preferences           |         0
 notifications    | notification_queue                 |         0
 operations       | backup_verification                |         0
 operations       | dr_tests                           |         0
 operations       | maintenance_windows                |         0
 partnerships     | agreements                         |         0
 partnerships     | commissions                        |         0
 partnerships     | performance_metrics                |         0
 payments         | financial_reports                  |         0
 payments         | international_fees                 |         0
 payments         | invoices                           |         0
 payments         | payment_methods                    |         0
 payments         | price_history                      |         0
 payments         | refunds                            |         0
 payments         | settlements                        |         0
 payments         | subscriptions                      |         0
 payments         | transactions                       |         5
 public           | audit_logs                         |     10018
 public           | bank_verifications                 |         0
 public           | compliance_audit_log               |         0
 public           | compliance_batch_jobs              |         0
 public           | compliance_documents               |         0
 public           | compliance_settings                |         5
 public           | devices                            |         3
 public           | event_tiers                        |         9
 public           | events                             |        10
 public           | form_1099_records                  |         0
 public           | idempotency_keys                   |         2
 public           | migrations                         |         2
 public           | mint_jobs                          |         3
 public           | nft_mints                          |         1
 public           | notification_log                   |         0
 public           | notifications                      |         5
 public           | ofac_checks                        |         0
 public           | ofac_sdn_list                      |         0
 public           | order_items                        |         5
 public           | orders                             |         7
 public           | outbox                             |        17
 public           | payment_intents                    |         4
 public           | payout_methods                     |         0
 public           | pgbench_accounts                   |   1000000
 public           | pgbench_branches                   |        10
 public           | pgbench_history                    |         0
 public           | pgbench_tellers                    |       100
 public           | refunds                            |         5
 public           | reservations                       |         3
 public           | risk_assessments                   |         0
